Run Index,k,Normalization Time,Train Kernel Time,Test Kernel Time,QkNN Time,Accuracy,Noise,Date,Time
7,1,0.0010023117065429688,30.087027549743652,14.999898910522461,0.016234397888183594,1.0,T2Dephasing,03/17/2025,15:34:09
7,2,0.0010023117065429688,30.087027549743652,14.999898910522461,0.012191057205200195,1.0,T2Dephasing,03/17/2025,15:34:09
7,3,0.0010023117065429688,30.087027549743652,14.999898910522461,0.012360572814941406,1.0,T2Dephasing,03/17/2025,15:34:09
7,4,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014569282531738281,0.9666666666666667,T2Dephasing,03/17/2025,15:34:09
7,5,0.0010023117065429688,30.087027549743652,14.999898910522461,0.01634526252746582,1.0,T2Dephasing,03/17/2025,15:34:09
7,6,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014160871505737305,1.0,T2Dephasing,03/17/2025,15:34:09
7,7,0.0010023117065429688,30.087027549743652,14.999898910522461,0.013302087783813477,1.0,T2Dephasing,03/17/2025,15:34:09
7,8,0.0010023117065429688,30.087027549743652,14.999898910522461,0.016165733337402344,1.0,T2Dephasing,03/17/2025,15:34:09
7,9,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014767646789550781,1.0,T2Dephasing,03/17/2025,15:34:09
7,10,0.0010023117065429688,30.087027549743652,14.999898910522461,0.015500545501708984,1.0,T2Dephasing,03/17/2025,15:34:09
7,11,0.0010023117065429688,30.087027549743652,14.999898910522461,0.01507878303527832,1.0,T2Dephasing,03/17/2025,15:34:09
7,12,0.0010023117065429688,30.087027549743652,14.999898910522461,0.016543865203857422,1.0,T2Dephasing,03/17/2025,15:34:09
7,13,0.0010023117065429688,30.087027549743652,14.999898910522461,0.01454782485961914,1.0,T2Dephasing,03/17/2025,15:34:09
7,14,0.0010023117065429688,30.087027549743652,14.999898910522461,0.01692509651184082,1.0,T2Dephasing,03/17/2025,15:34:09
7,15,0.0010023117065429688,30.087027549743652,14.999898910522461,0.013723134994506836,1.0,T2Dephasing,03/17/2025,15:34:09
7,16,0.0010023117065429688,30.087027549743652,14.999898910522461,0.016379833221435547,1.0,T2Dephasing,03/17/2025,15:34:09
7,17,0.0010023117065429688,30.087027549743652,14.999898910522461,0.013576269149780273,1.0,T2Dephasing,03/17/2025,15:34:09
7,18,0.0010023117065429688,30.087027549743652,14.999898910522461,0.012131214141845703,1.0,T2Dephasing,03/17/2025,15:34:09
7,19,0.0010023117065429688,30.087027549743652,14.999898910522461,0.013534784317016602,1.0,T2Dephasing,03/17/2025,15:34:09
7,20,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014948844909667969,1.0,T2Dephasing,03/17/2025,15:34:09
7,21,0.0010023117065429688,30.087027549743652,14.999898910522461,0.007531642913818359,1.0,T2Dephasing,03/17/2025,15:34:09
7,22,0.0010023117065429688,30.087027549743652,14.999898910522461,0.015938758850097656,1.0,T2Dephasing,03/17/2025,15:34:09
7,23,0.0010023117065429688,30.087027549743652,14.999898910522461,0.012944698333740234,1.0,T2Dephasing,03/17/2025,15:34:09
7,24,0.0010023117065429688,30.087027549743652,14.999898910522461,0.016299009323120117,1.0,T2Dephasing,03/17/2025,15:34:09
7,25,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014339447021484375,1.0,T2Dephasing,03/17/2025,15:34:09
7,26,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014258146286010742,1.0,T2Dephasing,03/17/2025,15:34:09
7,27,0.0010023117065429688,30.087027549743652,14.999898910522461,0.014349937438964844,1.0,T2Dephasing,03/17/2025,15:34:09
7,28,0.0010023117065429688,30.087027549743652,14.999898910522461,0.011756658554077148,1.0,T2Dephasing,03/17/2025,15:34:09
7,29,0.0010023117065429688,30.087027549743652,14.999898910522461,0.01583075523376465,1.0,T2Dephasing,03/17/2025,15:34:09
7,30,0.0010023117065429688,30.087027549743652,14.999898910522461,0.015890121459960938,1.0,T2Dephasing,03/17/2025,15:34:09
