Run Index,k,Normalization Time,Train Kernel Time,Test Kernel Time,QkNN Time,Accuracy,Date,Time
1,1,0.005109071731567383,17.879947423934937,9.746818780899048,0.013000249862670898,1.0,02/17/2025,18:09:40
1,2,0.005109071731567383,17.879947423934937,9.746818780899048,0.009526729583740234,1.0,02/17/2025,18:09:40
1,3,0.005109071731567383,17.879947423934937,9.746818780899048,0.010139226913452148,1.0,02/17/2025,18:09:40
1,4,0.005109071731567383,17.879947423934937,9.746818780899048,0.01052713394165039,0.9666666666666667,02/17/2025,18:09:40
1,5,0.005109071731567383,17.879947423934937,9.746818780899048,0.007999658584594727,1.0,02/17/2025,18:09:40
1,6,0.005109071731567383,17.879947423934937,9.746818780899048,0.014003753662109375,1.0,02/17/2025,18:09:40
1,7,0.005109071731567383,17.879947423934937,9.746818780899048,0.014050006866455078,1.0,02/17/2025,18:09:40
1,8,0.005109071731567383,17.879947423934937,9.746818780899048,0.010586738586425781,1.0,02/17/2025,18:09:40
1,9,0.005109071731567383,17.879947423934937,9.746818780899048,0.009996652603149414,1.0,02/17/2025,18:09:40
1,10,0.005109071731567383,17.879947423934937,9.746818780899048,0.00842428207397461,1.0,02/17/2025,18:09:40
1,11,0.005109071731567383,17.879947423934937,9.746818780899048,0.0251924991607666,1.0,02/17/2025,18:09:40
1,12,0.005109071731567383,17.879947423934937,9.746818780899048,0.01110219955444336,1.0,02/17/2025,18:09:40
1,13,0.005109071731567383,17.879947423934937,9.746818780899048,0.010791301727294922,1.0,02/17/2025,18:09:40
1,14,0.005109071731567383,17.879947423934937,9.746818780899048,0.01320505142211914,1.0,02/17/2025,18:09:40
1,15,0.005109071731567383,17.879947423934937,9.746818780899048,0.012800931930541992,1.0,02/17/2025,18:09:40
1,16,0.005109071731567383,17.879947423934937,9.746818780899048,0.012080907821655273,1.0,02/17/2025,18:09:40
1,17,0.005109071731567383,17.879947423934937,9.746818780899048,0.013298988342285156,1.0,02/17/2025,18:09:40
1,18,0.005109071731567383,17.879947423934937,9.746818780899048,0.010975837707519531,1.0,02/17/2025,18:09:40
1,19,0.005109071731567383,17.879947423934937,9.746818780899048,0.00950932502746582,1.0,02/17/2025,18:09:40
1,20,0.005109071731567383,17.879947423934937,9.746818780899048,0.011015892028808594,1.0,02/17/2025,18:09:40
1,21,0.005109071731567383,17.879947423934937,9.746818780899048,0.009979724884033203,1.0,02/17/2025,18:09:40
1,22,0.005109071731567383,17.879947423934937,9.746818780899048,0.009001016616821289,1.0,02/17/2025,18:09:40
1,23,0.005109071731567383,17.879947423934937,9.746818780899048,0.01332402229309082,1.0,02/17/2025,18:09:40
1,24,0.005109071731567383,17.879947423934937,9.746818780899048,0.009522676467895508,1.0,02/17/2025,18:09:40
1,25,0.005109071731567383,17.879947423934937,9.746818780899048,0.010389089584350586,1.0,02/17/2025,18:09:40
1,26,0.005109071731567383,17.879947423934937,9.746818780899048,0.008002281188964844,1.0,02/17/2025,18:09:40
1,27,0.005109071731567383,17.879947423934937,9.746818780899048,0.009001016616821289,1.0,02/17/2025,18:09:40
1,28,0.005109071731567383,17.879947423934937,9.746818780899048,0.008998870849609375,1.0,02/17/2025,18:09:40
1,29,0.005109071731567383,17.879947423934937,9.746818780899048,0.010795354843139648,1.0,02/17/2025,18:09:40
1,30,0.005109071731567383,17.879947423934937,9.746818780899048,0.010024309158325195,1.0,02/17/2025,18:09:40
