Run Index,k,Normalization Time,Train Kernel Time,Test Kernel Time,QkNN Time,Accuracy,Noise,Date,Time
1,1,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006996631622314453,1.0,T2Dephasing,02/17/2025,19:11:28
1,2,0.0009818077087402344,14.662911415100098,7.37383508682251,0.007381916046142578,1.0,T2Dephasing,02/17/2025,19:11:28
1,3,0.0009818077087402344,14.662911415100098,7.37383508682251,0.007586002349853516,1.0,T2Dephasing,02/17/2025,19:11:28
1,4,0.0009818077087402344,14.662911415100098,7.37383508682251,0.008734703063964844,0.9666666666666667,T2Dephasing,02/17/2025,19:11:28
1,5,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006047248840332031,1.0,T2Dephasing,02/17/2025,19:11:28
1,6,0.0009818077087402344,14.662911415100098,7.37383508682251,0.0059986114501953125,1.0,T2Dephasing,02/17/2025,19:11:28
1,7,0.0009818077087402344,14.662911415100098,7.37383508682251,0.010083913803100586,1.0,T2Dephasing,02/17/2025,19:11:28
1,8,0.0009818077087402344,14.662911415100098,7.37383508682251,0.005974531173706055,1.0,T2Dephasing,02/17/2025,19:11:28
1,9,0.0009818077087402344,14.662911415100098,7.37383508682251,0.005995988845825195,1.0,T2Dephasing,02/17/2025,19:11:28
1,10,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006592750549316406,1.0,T2Dephasing,02/17/2025,19:11:28
1,11,0.0009818077087402344,14.662911415100098,7.37383508682251,0.007243633270263672,1.0,T2Dephasing,02/17/2025,19:11:28
1,12,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006999015808105469,1.0,T2Dephasing,02/17/2025,19:11:28
1,13,0.0009818077087402344,14.662911415100098,7.37383508682251,0.0060122013092041016,1.0,T2Dephasing,02/17/2025,19:11:28
1,14,0.0009818077087402344,14.662911415100098,7.37383508682251,0.005000114440917969,1.0,T2Dephasing,02/17/2025,19:11:28
1,15,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006268501281738281,1.0,T2Dephasing,02/17/2025,19:11:28
1,16,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006948232650756836,1.0,T2Dephasing,02/17/2025,19:11:28
1,17,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006515026092529297,1.0,T2Dephasing,02/17/2025,19:11:28
1,18,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006998777389526367,1.0,T2Dephasing,02/17/2025,19:11:28
1,19,0.0009818077087402344,14.662911415100098,7.37383508682251,0.005999088287353516,1.0,T2Dephasing,02/17/2025,19:11:28
1,20,0.0009818077087402344,14.662911415100098,7.37383508682251,0.00600123405456543,1.0,T2Dephasing,02/17/2025,19:11:28
1,21,0.0009818077087402344,14.662911415100098,7.37383508682251,0.005509853363037109,1.0,T2Dephasing,02/17/2025,19:11:28
1,22,0.0009818077087402344,14.662911415100098,7.37383508682251,0.007339954376220703,1.0,T2Dephasing,02/17/2025,19:11:28
1,23,0.0009818077087402344,14.662911415100098,7.37383508682251,0.00650787353515625,1.0,T2Dephasing,02/17/2025,19:11:28
1,24,0.0009818077087402344,14.662911415100098,7.37383508682251,0.00700688362121582,1.0,T2Dephasing,02/17/2025,19:11:28
1,25,0.0009818077087402344,14.662911415100098,7.37383508682251,0.009000301361083984,1.0,T2Dephasing,02/17/2025,19:11:28
1,26,0.0009818077087402344,14.662911415100098,7.37383508682251,0.011419296264648438,1.0,T2Dephasing,02/17/2025,19:11:28
1,27,0.0009818077087402344,14.662911415100098,7.37383508682251,0.009999752044677734,1.0,T2Dephasing,02/17/2025,19:11:28
1,28,0.0009818077087402344,14.662911415100098,7.37383508682251,0.007006645202636719,1.0,T2Dephasing,02/17/2025,19:11:28
1,29,0.0009818077087402344,14.662911415100098,7.37383508682251,0.00735020637512207,1.0,T2Dephasing,02/17/2025,19:11:28
1,30,0.0009818077087402344,14.662911415100098,7.37383508682251,0.006518363952636719,1.0,T2Dephasing,02/17/2025,19:11:28
