Absolute Difference in Mean Accuracy: Noiseless vs. T2Dephasing

k-value	Absolute_Difference
1	0.002667
2	0.004667
3	0.000667
4	0.002667
5	0.005333
6	0.006667
7	0.006000
8	0.006000
9	0.005333
10	0.003333
11	0.003333
12	0.003333
13	0.004000
14	0.002667
15	0.004000
16	0.003333
17	0.004000
18	0.004667
19	0.004667
20	0.004667
21	0.004667
22	0.004667
23	0.005333
24	0.006000
25	0.007333
26	0.005333
27	0.006667
28	0.005333
29	0.005333
30	0.006667
