Absolute Difference in Mean Accuracy: Noiseless vs. ZRotation

k-value	Absolute_Difference
1	0.004667
2	0.011333
3	0.001333
4	0.002667
5	0.008000
6	0.009333
7	0.009333
8	0.007333
9	0.009333
10	0.006667
11	0.009333
12	0.007333
13	0.008000
14	0.005333
15	0.010667
16	0.008667
17	0.009333
18	0.010000
19	0.012000
20	0.012000
21	0.012000
22	0.012000
23	0.012000
24	0.012000
25	0.012000
26	0.010667
27	0.011333
28	0.009333
29	0.009333
30	0.010000
