Absolute Difference in Mean Accuracy: Noiseless vs. T1Relaxation

k-value	Absolute_Difference
1	0.002000
2	0.010000
3	0.001333
4	0.001333
5	0.001333
6	0.000667
7	0.000667
8	0.001333
9	0.000667
10	0.002000
11	0.001333
12	0.001333
13	0.000667
14	0.002000
15	0.000000
16	0.002000
17	0.000000
18	0.001333
19	0.000667
20	0.000667
21	0.000667
22	0.000000
23	0.000667
24	0.002000
25	0.002667
26	0.002667
27	0.003333
28	0.000667
29	0.002000
30	0.003333
