Absolute Difference in Mean Accuracy: Noiseless vs. SingleQubit

k-value	Absolute_Difference
1	0.003333
2	0.005333
3	0.001333
4	0.002667
5	0.002000
6	0.005333
7	0.004000
8	0.005333
9	0.005333
10	0.004000
11	0.004000
12	0.004667
13	0.002000
14	0.002000
15	0.001333
16	0.001333
17	0.001333
18	0.003333
19	0.001333
20	0.002667
21	0.000000
22	0.001333
23	0.002000
24	0.003333
25	0.004000
26	0.002667
27	0.004000
28	0.000000
29	0.001333
30	0.000000
