Absolute Difference in Mean Accuracy: Noiseless vs. MeasurementError

k-value	Absolute_Difference
1	0.002000
2	0.008667
3	0.006000
4	0.002667
5	0.004000
6	0.000667
7	0.000667
8	0.001333
9	0.000000
10	0.001333
11	0.002000
12	0.000667
13	0.002000
14	0.000000
15	0.004667
16	0.002667
17	0.002000
18	0.000667
19	0.003333
20	0.001333
21	0.003333
22	0.002667
23	0.001333
24	0.000667
25	0.000667
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000667
