Run Index,k,Normalization Time,Train Kernel Time,Test Kernel Time,QkNN Time,Accuracy,Noise,Date,Time
21,1,0.0,24.155394554138184,12.50695252418518,0.012950658798217773,1.0,ZRotation,03/17/2025,12:30:46
21,2,0.0,24.155394554138184,12.50695252418518,0.014996767044067383,1.0,ZRotation,03/17/2025,12:30:46
21,3,0.0,24.155394554138184,12.50695252418518,0.016618728637695312,1.0,ZRotation,03/17/2025,12:30:46
21,4,0.0,24.155394554138184,12.50695252418518,0.01401066780090332,0.9666666666666667,ZRotation,03/17/2025,12:30:46
21,5,0.0,24.155394554138184,12.50695252418518,0.012062311172485352,1.0,ZRotation,03/17/2025,12:30:46
21,6,0.0,24.155394554138184,12.50695252418518,0.012516498565673828,1.0,ZRotation,03/17/2025,12:30:46
21,7,0.0,24.155394554138184,12.50695252418518,0.012999773025512695,1.0,ZRotation,03/17/2025,12:30:46
21,8,0.0,24.155394554138184,12.50695252418518,0.00973367691040039,1.0,ZRotation,03/17/2025,12:30:46
21,9,0.0,24.155394554138184,12.50695252418518,0.012073755264282227,1.0,ZRotation,03/17/2025,12:30:46
21,10,0.0,24.155394554138184,12.50695252418518,0.009786367416381836,1.0,ZRotation,03/17/2025,12:30:46
21,11,0.0,24.155394554138184,12.50695252418518,0.013009071350097656,1.0,ZRotation,03/17/2025,12:30:46
21,12,0.0,24.155394554138184,12.50695252418518,0.0110015869140625,1.0,ZRotation,03/17/2025,12:30:46
21,13,0.0,24.155394554138184,12.50695252418518,0.010970592498779297,1.0,ZRotation,03/17/2025,12:30:46
21,14,0.0,24.155394554138184,12.50695252418518,0.013774394989013672,1.0,ZRotation,03/17/2025,12:30:46
21,15,0.0,24.155394554138184,12.50695252418518,0.012034416198730469,1.0,ZRotation,03/17/2025,12:30:46
21,16,0.0,24.155394554138184,12.50695252418518,0.01108860969543457,1.0,ZRotation,03/17/2025,12:30:46
21,17,0.0,24.155394554138184,12.50695252418518,0.01456594467163086,1.0,ZRotation,03/17/2025,12:30:46
21,18,0.0,24.155394554138184,12.50695252418518,0.01114511489868164,1.0,ZRotation,03/17/2025,12:30:46
21,19,0.0,24.155394554138184,12.50695252418518,0.010151147842407227,1.0,ZRotation,03/17/2025,12:30:46
21,20,0.0,24.155394554138184,12.50695252418518,0.01440739631652832,1.0,ZRotation,03/17/2025,12:30:46
21,21,0.0,24.155394554138184,12.50695252418518,0.013597249984741211,1.0,ZRotation,03/17/2025,12:30:46
21,22,0.0,24.155394554138184,12.50695252418518,0.010566473007202148,1.0,ZRotation,03/17/2025,12:30:46
21,23,0.0,24.155394554138184,12.50695252418518,0.014050483703613281,1.0,ZRotation,03/17/2025,12:30:46
21,24,0.0,24.155394554138184,12.50695252418518,0.00995779037475586,1.0,ZRotation,03/17/2025,12:30:46
21,25,0.0,24.155394554138184,12.50695252418518,0.010570287704467773,1.0,ZRotation,03/17/2025,12:30:46
21,26,0.0,24.155394554138184,12.50695252418518,0.016767501831054688,1.0,ZRotation,03/17/2025,12:30:46
21,27,0.0,24.155394554138184,12.50695252418518,0.013956785202026367,1.0,ZRotation,03/17/2025,12:30:46
21,28,0.0,24.155394554138184,12.50695252418518,0.016526460647583008,1.0,ZRotation,03/17/2025,12:30:46
21,29,0.0,24.155394554138184,12.50695252418518,0.022517919540405273,1.0,ZRotation,03/17/2025,12:30:46
21,30,0.0,24.155394554138184,12.50695252418518,0.015000104904174805,1.0,ZRotation,03/17/2025,12:30:46
